VCD info: dumpfile waveform.vcd opened for output.
combinational comparator module test:
          0   A: 2  B: 1  LGN:0  EQ:0
          1   A: 1  B:15  LGN:1  EQ:0
          2   A:10  B: 8  LGN:0  EQ:0
          3   A:14  B:13  LGN:0  EQ:0
          4   A: 3  B: 6  LGN:1  EQ:0
          5   A: 1  B:12  LGN:1  EQ:0
          6   A:15  B:11  LGN:0  EQ:0
          7   A:15  B: 5  LGN:0  EQ:0
          8   A:10  B: 2  LGN:0  EQ:0
          9   A: 9  B:11  LGN:1  EQ:0
         10   A:15  B: 2  LGN:0  EQ:0
         11   A: 5  B:13  LGN:1  EQ:0
         12   A:15  B: 5  LGN:0  EQ:0
         13   A: 6  B: 0  LGN:0  EQ:0
         14   A: 3  B: 3  LGN:0  EQ:1
         15   A:10  B: 8  LGN:0  EQ:0
sequantial comparator module test:
reset module  -->  LGN:0  EQ:1
                  22   A:0  B:1  LGN:1  EQ:0
                  24   A:1  B:0  LGN:1  EQ:0
                  26   A:0  B:1  LGN:1  EQ:0
                  28   A:1  B:0  LGN:1  EQ:0
                  30   A:0  B:0  LGN:1  EQ:0
                  32   A:0  B:1  LGN:1  EQ:0
                  34   A:1  B:0  LGN:1  EQ:0
                  36   A:1  B:0  LGN:1  EQ:0
                  38   A:0  B:0  LGN:1  EQ:0
                  40   A:1  B:0  LGN:1  EQ:0
                  42   A:1  B:0  LGN:1  EQ:0
                  44   A:0  B:1  LGN:1  EQ:0
                  46   A:1  B:1  LGN:1  EQ:0
reset module  -->  LGN:0  EQ:1
                  50   A:0  B:1  LGN:1  EQ:0
                  52   A:0  B:0  LGN:1  EQ:0
                  54   A:1  B:0  LGN:1  EQ:0
                  56   A:1  B:0  LGN:1  EQ:0
                  58   A:0  B:1  LGN:1  EQ:0
                  60   A:1  B:0  LGN:1  EQ:0
                  62   A:1  B:1  LGN:1  EQ:0
                  64   A:1  B:0  LGN:1  EQ:0
                  66   A:0  B:1  LGN:1  EQ:0
                  68   A:1  B:1  LGN:1  EQ:0
                  70   A:0  B:0  LGN:1  EQ:0
                  72   A:0  B:0  LGN:1  EQ:0
                  74   A:1  B:0  LGN:1  EQ:0
                  76   A:1  B:0  LGN:1  EQ:0
                  78   A:0  B:0  LGN:1  EQ:0
                  80   A:0  B:0  LGN:1  EQ:0
                  82   A:0  B:1  LGN:1  EQ:0
reset module  -->  LGN:0  EQ:1
                  86   A:1  B:0  LGN:0  EQ:0
                  88   A:0  B:1  LGN:0  EQ:0
                  90   A:1  B:0  LGN:0  EQ:0
                  92   A:0  B:0  LGN:0  EQ:0
                  94   A:0  B:1  LGN:0  EQ:0
                  96   A:0  B:0  LGN:0  EQ:0
                  98   A:1  B:1  LGN:0  EQ:0
                 100   A:0  B:0  LGN:0  EQ:0
                 102   A:0  B:0  LGN:0  EQ:0
reset module  -->  LGN:0  EQ:1
                 106   A:1  B:1  LGN:0  EQ:1
                 108   A:0  B:0  LGN:0  EQ:1
                 110   A:0  B:1  LGN:1  EQ:0
                 112   A:1  B:0  LGN:1  EQ:0
                 114   A:0  B:0  LGN:1  EQ:0
                 116   A:0  B:0  LGN:1  EQ:0
