combinational comparator module test:
          0   A: 2  B: 8  G:0  E:0, L:1
          1   A: 9  B:13  G:0  E:0, L:1
          2   A: 5  B: 5  G:0  E:1, L:0
          3   A:10  B:14  G:0  E:0, L:1
          4   A: 0  B:13  G:0  E:0, L:1
          5   A: 9  B:13  G:0  E:0, L:1
          6   A: 9  B:14  G:0  E:0, L:1
          7   A: 3  B:10  G:0  E:0, L:1
          8   A:11  B: 4  G:1  E:0, L:0
          9   A: 7  B:13  G:0  E:0, L:1
         10   A: 6  B: 9  G:0  E:0, L:1
         11   A:15  B: 5  G:1  E:0, L:0
         12   A: 6  B:12  G:0  E:0, L:1
         13   A: 0  B:11  G:0  E:0, L:1
         14   A: 8  B: 9  G:0  E:0, L:1
         15   A: 3  B: 6  G:0  E:0, L:1
sequantial comparator module test:
reset module  -->  G:0  E:0, L:0
                  22   A:1  B:1  G:0  E:1, L:0
                  24   A:0  B:1  G:0  E:0, L:1
                  26   A:1  B:0  G:0  E:0, L:1
                  28   A:0  B:1  G:0  E:0, L:1
                  30   A:1  B:0  G:0  E:0, L:1
                  32   A:0  B:0  G:0  E:0, L:1
reset module  -->  G:0  E:0, L:0
                  36   A:1  B:1  G:0  E:1, L:0
reset module  -->  G:0  E:0, L:0
                  40   A:1  B:0  G:1  E:0, L:0
                  42   A:1  B:1  G:1  E:0, L:0
                  44   A:1  B:1  G:1  E:0, L:0
                  46   A:0  B:0  G:1  E:0, L:0
                  48   A:1  B:0  G:1  E:0, L:0
                  50   A:0  B:0  G:1  E:0, L:0
                  52   A:1  B:0  G:1  E:0, L:0
                  54   A:1  B:0  G:1  E:0, L:0
                  56   A:0  B:1  G:1  E:0, L:0
                  58   A:0  B:1  G:1  E:0, L:0
                  60   A:1  B:1  G:1  E:0, L:0
                  62   A:0  B:0  G:1  E:0, L:0
                  64   A:1  B:1  G:1  E:0, L:0
                  66   A:0  B:1  G:1  E:0, L:0
                  68   A:0  B:0  G:1  E:0, L:0
                  70   A:1  B:0  G:1  E:0, L:0
                  72   A:0  B:0  G:1  E:0, L:0
                  74   A:0  B:1  G:1  E:0, L:0
                  76   A:1  B:0  G:1  E:0, L:0
                  78   A:0  B:0  G:1  E:0, L:0
reset module  -->  G:0  E:0, L:0
                  82   A:1  B:0  G:1  E:0, L:0
                  84   A:0  B:0  G:1  E:0, L:0
                  86   A:1  B:0  G:1  E:0, L:0
                  88   A:1  B:1  G:1  E:0, L:0
                  90   A:1  B:0  G:1  E:0, L:0
                  92   A:1  B:1  G:1  E:0, L:0
                  94   A:0  B:0  G:1  E:0, L:0
                  96   A:0  B:1  G:1  E:0, L:0
                  98   A:1  B:0  G:1  E:0, L:0
                 100   A:0  B:0  G:1  E:0, L:0
                 102   A:1  B:1  G:1  E:0, L:0
                 104   A:0  B:1  G:1  E:0, L:0
                 106   A:0  B:1  G:1  E:0, L:0
                 108   A:1  B:1  G:1  E:0, L:0
                 110   A:1  B:1  G:1  E:0, L:0
                 112   A:0  B:1  G:1  E:0, L:0
                 114   A:0  B:0  G:1  E:0, L:0
                 116   A:1  B:0  G:1  E:0, L:0
