VCD info: dumpfile report/waveform.vcd opened for output.
                   0   x *  x =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = x, count = 4 , B0,B-1 = x0, out_ready = 0
                   5   5 * -6 =    x _______ A:xxxx, XB:0000xxxx, state = 0, next_state = 4, count = 4 , B0,B-1 = x0, out_ready = 0
                   6   5 * -6 =    x _______ A:0101, XB:00001010, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                  10   5 * -6 =    x _______ A:0101, XB:00001010, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                  14   5 * -6 =    x _______ A:0101, XB:00000101, state = 4, next_state = 2, count = 3 , B0,B-1 = 10, out_ready = 0
                  18   5 * -6 =    x _______ A:0101, XB:00000101, state = 2, next_state = 3, count = 3 , B0,B-1 = 10, out_ready = 0
                  22   5 * -6 =    x _______ A:0101, XB:10110101, state = 3, next_state = 4, count = 3 , B0,B-1 = 10, out_ready = 0
                  26   5 * -6 =    x _______ A:0101, XB:11011010, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                  30   5 * -6 =    x _______ A:0101, XB:11011010, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                  34   5 * -6 =    x _______ A:0101, XB:00101010, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                  38   5 * -6 =    x _______ A:0101, XB:00010101, state = 4, next_state = 2, count = 1 , B0,B-1 = 10, out_ready = 0
                  42   5 * -6 =    x _______ A:0101, XB:00010101, state = 2, next_state = 3, count = 1 , B0,B-1 = 10, out_ready = 0
                  46   5 * -6 =    x _______ A:0101, XB:11000101, state = 3, next_state = 4, count = 1 , B0,B-1 = 10, out_ready = 0
                  50   5 * -6 =  -30 _______ A:0101, XB:11100010, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                  54   5 * -6 =  -30 _______ A:0101, XB:11100010, state = 1, next_state = 3, count = 0 , B0,B-1 = 01, out_ready = 1
                  55   5 * -6 =  -30 _______ A:0101, XB:00001010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                  60   2 *  2 =  -30 _______ A:0101, XB:00001010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                  62   2 *  2 =  -30 _______ A:0010, XB:00000010, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                  66   2 *  2 =  -30 _______ A:0010, XB:00000010, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                  70   2 *  2 =  -30 _______ A:0010, XB:00000001, state = 4, next_state = 2, count = 3 , B0,B-1 = 10, out_ready = 0
                  74   2 *  2 =  -30 _______ A:0010, XB:00000001, state = 2, next_state = 3, count = 3 , B0,B-1 = 10, out_ready = 0
                  78   2 *  2 =  -30 _______ A:0010, XB:11100001, state = 3, next_state = 4, count = 3 , B0,B-1 = 10, out_ready = 0
                  82   2 *  2 =  -30 _______ A:0010, XB:11110000, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                  86   2 *  2 =  -30 _______ A:0010, XB:11110000, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                  90   2 *  2 =  -30 _______ A:0010, XB:00010000, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                  94   2 *  2 =  -30 _______ A:0010, XB:00001000, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                  98   2 *  2 =  -30 _______ A:0010, XB:00001000, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 102   2 *  2 =    4 _______ A:0010, XB:00000100, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 105   2 *  2 =    4 _______ A:0010, XB:00000010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 110   4 *  2 =    4 _______ A:0100, XB:00000010, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 114   4 *  2 =    4 _______ A:0100, XB:00000010, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 118   4 *  2 =    4 _______ A:0100, XB:00000001, state = 4, next_state = 2, count = 3 , B0,B-1 = 10, out_ready = 0
                 122   4 *  2 =    4 _______ A:0100, XB:00000001, state = 2, next_state = 3, count = 3 , B0,B-1 = 10, out_ready = 0
                 126   4 *  2 =    4 _______ A:0100, XB:11000001, state = 3, next_state = 4, count = 3 , B0,B-1 = 10, out_ready = 0
                 130   4 *  2 =    4 _______ A:0100, XB:11100000, state = 4, next_state = 1, count = 2 , B0,B-1 = 01, out_ready = 0
                 134   4 *  2 =    4 _______ A:0100, XB:11100000, state = 1, next_state = 3, count = 2 , B0,B-1 = 01, out_ready = 0
                 138   4 *  2 =    4 _______ A:0100, XB:00100000, state = 3, next_state = 4, count = 2 , B0,B-1 = 01, out_ready = 0
                 142   4 *  2 =    4 _______ A:0100, XB:00010000, state = 4, next_state = 3, count = 1 , B0,B-1 = 00, out_ready = 0
                 146   4 *  2 =    4 _______ A:0100, XB:00010000, state = 3, next_state = 4, count = 1 , B0,B-1 = 00, out_ready = 0
                 150   4 *  2 =    8 _______ A:0100, XB:00001000, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
                 154   4 *  2 =    8 _______ A:0100, XB:00001000, state = 3, next_state = 0, count = 0 , B0,B-1 = 00, out_ready = 1
                 155   4 *  2 =    8 _______ A:0100, XB:00000010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 160   4 * -4 =    8 _______ A:0100, XB:00000010, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 162   4 * -4 =    8 _______ A:0100, XB:00001100, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 166   4 * -4 =    8 _______ A:0100, XB:00001100, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 170   4 * -4 =    8 _______ A:0100, XB:00000110, state = 4, next_state = 3, count = 3 , B0,B-1 = 00, out_ready = 0
                 174   4 * -4 =    8 _______ A:0100, XB:00000110, state = 3, next_state = 4, count = 3 , B0,B-1 = 00, out_ready = 0
                 178   4 * -4 =    8 _______ A:0100, XB:00000011, state = 4, next_state = 2, count = 2 , B0,B-1 = 10, out_ready = 0
                 182   4 * -4 =    8 _______ A:0100, XB:00000011, state = 2, next_state = 3, count = 2 , B0,B-1 = 10, out_ready = 0
                 186   4 * -4 =    8 _______ A:0100, XB:11000011, state = 3, next_state = 4, count = 2 , B0,B-1 = 10, out_ready = 0
                 190   4 * -4 =    8 _______ A:0100, XB:11100001, state = 4, next_state = 3, count = 1 , B0,B-1 = 11, out_ready = 0
                 194   4 * -4 =    8 _______ A:0100, XB:11100001, state = 3, next_state = 4, count = 1 , B0,B-1 = 11, out_ready = 0
                 198   4 * -4 =  -16 _______ A:0100, XB:11110000, state = 4, next_state = 1, count = 0 , B0,B-1 = 01, out_ready = 1
                 200   4 * -4 =  -16 _______ A:0100, XB:00001100, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 205  -5 *  5 =  -16 _______ A:0100, XB:00001100, state = 0, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 206  -5 *  5 =  -16 _______ A:1011, XB:00000101, state = 4, next_state = 2, count = 4 , B0,B-1 = 10, out_ready = 0
                 210  -5 *  5 =  -16 _______ A:1011, XB:00000101, state = 2, next_state = 3, count = 4 , B0,B-1 = 10, out_ready = 0
                 214  -5 *  5 =  -16 _______ A:1011, XB:01010101, state = 3, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 218  -5 *  5 =  -16 _______ A:1011, XB:00101010, state = 4, next_state = 1, count = 3 , B0,B-1 = 01, out_ready = 0
                 222  -5 *  5 =  -16 _______ A:1011, XB:00101010, state = 1, next_state = 3, count = 3 , B0,B-1 = 01, out_ready = 0
                 226  -5 *  5 =  -16 _______ A:1011, XB:11011010, state = 3, next_state = 4, count = 3 , B0,B-1 = 01, out_ready = 0
                 230  -5 *  5 =  -16 _______ A:1011, XB:11101101, state = 4, next_state = 2, count = 2 , B0,B-1 = 10, out_ready = 0
                 234  -5 *  5 =  -16 _______ A:1011, XB:11101101, state = 2, next_state = 3, count = 2 , B0,B-1 = 10, out_ready = 0
                 238  -5 *  5 =  -16 _______ A:1011, XB:00111101, state = 3, next_state = 4, count = 2 , B0,B-1 = 10, out_ready = 0
                 242  -5 *  5 =  -16 _______ A:1011, XB:00011110, state = 4, next_state = 1, count = 1 , B0,B-1 = 01, out_ready = 0
                 246  -5 *  5 =  -16 _______ A:1011, XB:00011110, state = 1, next_state = 3, count = 1 , B0,B-1 = 01, out_ready = 0
                 250  -5 *  5 =  -16 _______ A:1011, XB:11001110, state = 3, next_state = 4, count = 1 , B0,B-1 = 01, out_ready = 0
                 254  -5 *  5 =  -25 _______ A:1011, XB:11100111, state = 4, next_state = 2, count = 0 , B0,B-1 = 10, out_ready = 1
                 255  -5 *  5 =  -25 _______ A:1011, XB:00000101, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 260   7 *  4 =  -25 _______ A:1011, XB:00000101, state = 0, next_state = 4, count = 4 , B0,B-1 = 10, out_ready = 0
                 262   7 *  4 =  -25 _______ A:0111, XB:00000100, state = 4, next_state = 3, count = 4 , B0,B-1 = 00, out_ready = 0
                 266   7 *  4 =  -25 _______ A:0111, XB:00000100, state = 3, next_state = 4, count = 4 , B0,B-1 = 00, out_ready = 0
                 270   7 *  4 =  -25 _______ A:0111, XB:00000010, state = 4, next_state = 3, count = 3 , B0,B-1 = 00, out_ready = 0
                 274   7 *  4 =  -25 _______ A:0111, XB:00000010, state = 3, next_state = 4, count = 3 , B0,B-1 = 00, out_ready = 0
                 278   7 *  4 =  -25 _______ A:0111, XB:00000001, state = 4, next_state = 2, count = 2 , B0,B-1 = 10, out_ready = 0
                 282   7 *  4 =  -25 _______ A:0111, XB:00000001, state = 2, next_state = 3, count = 2 , B0,B-1 = 10, out_ready = 0
                 286   7 *  4 =  -25 _______ A:0111, XB:10010001, state = 3, next_state = 4, count = 2 , B0,B-1 = 10, out_ready = 0
                 290   7 *  4 =  -25 _______ A:0111, XB:11001000, state = 4, next_state = 1, count = 1 , B0,B-1 = 01, out_ready = 0
                 294   7 *  4 =  -25 _______ A:0111, XB:11001000, state = 1, next_state = 3, count = 1 , B0,B-1 = 01, out_ready = 0
                 298   7 *  4 =  -25 _______ A:0111, XB:00111000, state = 3, next_state = 4, count = 1 , B0,B-1 = 01, out_ready = 0
                 302   7 *  4 =   28 _______ A:0111, XB:00011100, state = 4, next_state = 3, count = 0 , B0,B-1 = 00, out_ready = 1
